epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,90.8568,1.1714,0.45014,0.884,2.36256,0.00332248,0.00332248,0.0700977
2,179.551,1.26278,0.61823,0.95604,1.12496,0.00664931,0.00664931,0.0400912
3,267.956,1.22281,0.59788,0.95401,1.1841,0.00995015,0.00995015,0.0100587
4,356.575,1.10782,0.7619,0.97884,0.72772,0.00991232,0.00991232,0.00991232
5,445.242,0.91696,0.70452,0.98168,0.93617,0.00984449,0.00984449,0.00984449
6,532.533,0.88848,0.77574,0.9768,0.67707,0.00975773,0.00975773,0.00975773
7,620.122,0.81401,0.80342,0.98331,0.60377,0.00965239,0.00965239,0.00965239
8,708.283,0.75298,0.82906,0.98616,0.50269,0.00952889,0.00952889,0.00952889
9,796.832,0.74393,0.82336,0.98168,0.53889,0.00938772,0.00938772,0.00938772
10,885.716,0.68572,0.83109,0.98453,0.52187,0.00922942,0.00922942,0.00922942
11,973.261,0.6815,0.83476,0.98331,0.52207,0.00905463,0.00905463,0.00905463
12,1062,0.61034,0.84778,0.98698,0.45543,0.00886404,0.00886404,0.00886404
13,1152.09,0.62223,0.83679,0.98575,0.52091,0.00865839,0.00865839,0.00865839
14,1241.74,0.59659,0.86935,0.98901,0.39882,0.00843851,0.00843851,0.00843851
15,1331.17,0.56145,0.8661,0.9886,0.43653,0.00820525,0.00820525,0.00820525
16,1419.43,0.55069,0.85714,0.98983,0.46764,0.00795954,0.00795954,0.00795954
17,1507.78,0.51633,0.86406,0.98901,0.42147,0.00770234,0.00770234,0.00770234
18,1596.41,0.50133,0.87342,0.98779,0.41684,0.00743468,0.00743468,0.00743468
19,1684.6,0.50195,0.87871,0.99308,0.36696,0.00715761,0.00715761,0.00715761
20,1774.02,0.45958,0.88889,0.9886,0.35899,0.00687222,0.00687222,0.00687222
21,1862.41,0.45946,0.88319,0.99105,0.35935,0.00657963,0.00657963,0.00657963
22,1951.69,0.42793,0.89581,0.98983,0.34692,0.00628101,0.00628101,0.00628101
23,2040.45,0.42304,0.89255,0.99064,0.34869,0.00597754,0.00597754,0.00597754
24,2128.92,0.39589,0.89744,0.99145,0.34309,0.0056704,0.0056704,0.0056704
25,2217.51,0.38623,0.90395,0.99267,0.31972,0.00536081,0.00536081,0.00536081
26,2305.53,0.37049,0.91168,0.99349,0.29802,0.00505,0.00505,0.00505
27,2393.11,0.34693,0.91372,0.99227,0.29834,0.00473919,0.00473919,0.00473919
28,2479.81,0.33573,0.91046,0.99064,0.30661,0.0044296,0.0044296,0.0044296
29,2569.11,0.32003,0.90965,0.99308,0.31316,0.00412246,0.00412246,0.00412246
30,2658.09,0.30328,0.91412,0.99349,0.28306,0.00381899,0.00381899,0.00381899
31,2746.8,0.28256,0.90761,0.99308,0.29163,0.00352037,0.00352037,0.00352037
32,2834.78,0.27672,0.9068,0.99471,0.29486,0.00322778,0.00322778,0.00322778
33,2923.03,0.25197,0.92715,0.99634,0.26787,0.00294239,0.00294239,0.00294239
34,3012.05,0.23272,0.9186,0.99349,0.27523,0.00266532,0.00266532,0.00266532
35,3100.69,0.22663,0.91656,0.99512,0.2886,0.00239766,0.00239766,0.00239766
36,3189.51,0.20289,0.92877,0.99593,0.25481,0.00214046,0.00214046,0.00214046
37,3277.6,0.18679,0.93203,0.9943,0.25858,0.00189475,0.00189475,0.00189475
38,3365.7,0.18917,0.93081,0.99471,0.2562,0.00166149,0.00166149,0.00166149
39,3453.96,0.17338,0.92959,0.99389,0.26486,0.00144161,0.00144161,0.00144161
40,3542.94,0.15774,0.93203,0.99471,0.24814,0.00123596,0.00123596,0.00123596
41,3634.03,0.16597,0.92715,0.99552,0.25403,0.00104537,0.00104537,0.00104537
42,3722.44,0.14253,0.93,0.99471,0.25548,0.000870577,0.000870577,0.000870577
43,3813.13,0.13439,0.93325,0.99389,0.25507,0.000712282,0.000712282,0.000712282
44,3902.97,0.13,0.92959,0.99552,0.24594,0.000571106,0.000571106,0.000571106
45,3992.76,0.13235,0.92918,0.99593,0.2693,0.000447606,0.000447606,0.000447606
46,4081.6,0.1266,0.93,0.99593,0.24825,0.00034227,0.00034227,0.00034227
47,4170.04,0.1163,0.92877,0.99552,0.26193,0.000255513,0.000255513,0.000255513
48,4258.58,0.11959,0.93,0.99552,0.2441,0.000187678,0.000187678,0.000187678
49,4346.52,0.11312,0.93162,0.99552,0.25024,0.000139032,0.000139032,0.000139032
50,4435.97,0.11038,0.93203,0.99552,0.24228,0.000109768,0.000109768,0.000109768
