epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,10.0201,0.36496,0.93431,1,0.41285,0.0008,0.0008,0.0928
2,19.6755,0.07252,0.94891,1,0.20721,0.00169834,0.00169834,0.0846983
3,26.9207,0.1259,0.9562,1,0.20682,0.00258985,0.00258985,0.0765899
4,35.213,0.21232,0.86131,1,3.14293,0.00346931,0.00346931,0.0684693
5,43.6184,0.23506,0.57664,1,13.7015,0.00433157,0.00433157,0.0603316
6,51.8767,0.1356,0.56934,1,108.372,0.0051716,0.0051716,0.0521716
7,60.4082,0.18213,0.78102,1,16.3245,0.00598448,0.00598448,0.0439845
8,67.2813,0.14681,0.76642,1,3.58059,0.00676551,0.00676551,0.0357655
9,76.0892,0.17779,0.86861,1,0.67092,0.00751017,0.00751017,0.0275102
10,85.5297,0.13874,0.9562,1,0.11874,0.00821419,0.00821419,0.0192142
11,92.9908,0.14349,0.78102,1,0.38571,0.00887354,0.00887354,0.0108735
12,100.592,0.28664,0.67883,1,2.2046,0.00886404,0.00886404,0.00886404
13,107.404,0.38409,0.50365,1,10.4284,0.00865839,0.00865839,0.00865839
14,115.866,0.2149,0.49635,1,1.26889,0.00843851,0.00843851,0.00843851
15,124.079,0.20642,0.57664,1,1.9104,0.00820525,0.00820525,0.00820525
16,131.688,0.29699,0.84672,1,0.30603,0.00795954,0.00795954,0.00795954
17,139.722,0.2471,0.71533,1,1.15422,0.00770234,0.00770234,0.00770234
18,148.71,0.22916,0.94161,1,0.11735,0.00743468,0.00743468,0.00743468
19,155.886,0.16437,0.78832,1,0.67661,0.00715761,0.00715761,0.00715761
20,163.757,0.16565,0.94161,1,0.06267,0.00687222,0.00687222,0.00687222
21,171.507,0.18585,0.93431,1,0.16488,0.00657963,0.00657963,0.00657963
22,179.834,0.17625,0.91241,1,0.50583,0.00628101,0.00628101,0.00628101
23,187.706,0.15213,0.91971,1,0.15251,0.00597754,0.00597754,0.00597754
